participantId,age,gender,education,location,belief_pre,belief_post,belief_change,distance_pre,distance_post,distance_change,intentions_pre,intentions_post,intentions_change,policy_adoption_pre,policy_adoption_post,policy_adoption_change,self_perceived_behavior_change,self_perceived_behavior_pre,self_perceived_behavior_post,consumption_pre,consumption_post,consumption_change,general_sharing_pre,general_sharing_post,general_sharing_change,intervention_sharing_post,choices,condition,combined_condition,strategy,type
A4D4E985E90C44089B7440BAF4E72132,33,2,5,1,6.25,9.25,3,2.4,2.6,0.2,3.5,4.5,1,42.85714286,50,7.142857143,1,2,3,3.666666667,4,0.3333333333,1,1,0,0,5,chat_personalized,chat_personalized_action,action,real_human
F549A815D08C4FADBABB28A4AD1B861B,30,2,5,1,100,100,0,3.4,3.4,0,3.5,3.5,0,65.71428571,65.71428571,0,0,4,4,4.666666667,4.5,-0.1666666667,0,0,0,,0,text_statement,text_statement_future,future,real_human
DCC50FDA51B745E6B85447A18E578B1D,38,1,5,2,88.5,81.75,-6.75,5.4,5.6,0.2,3.75,3.75,0,77.57142857,72.85714286,-4.714285714,0,3,3,4.5,4.333333333,-0.1666666667,,,,0,5,chat_nonpersonal,chat_nonpersonal_future,future,real_human
DAEF41739E8549B0B5D2CAD77599238D,31,1,4,3,96.5,92.25,-4.25,4.8,5,0.2,4,4,0,86,78,-8,0,4,4,5,5.166666667,0.1666666667,,,,0,0.6666666667,chat_nonpersonal,chat_nonpersonal_moral,moral,real_human
DB96037B9AEA4AD0ACAF62A1CA6BA66C,18,2,2,2,66.25,73.75,7.5,4.2,6,1.8,4.5,5,0.5,72.14285714,68.28571429,-3.857142857,0,2,2,6.166666667,6,-0.1666666667,1,1,0,0,4,chat_nonpersonal,chat_nonpersonal_action,action,real_human
7CE8249F0BFF435AAD889F36C69249A3,46,1,2,1,2.5,2.5,0,3.4,3.4,0,1.5,1.5,0,18.57142857,17.28571429,-1.285714286,0,1,1,2.5,2.166666667,-0.3333333333,,,,,0,text_statement,text_statement_control,control,real_human
4FD5A2737A454AEC9A05173211D14187,33,1,5,2,0,0,0,3.4,3.4,0,2.75,1,-1.75,25.71428571,29,3.285714286,0,5,5,1,1,0,,,,,0,chat_nonpersonal,chat_nonpersonal_moral,moral,real_human
F615480A81A24D85BBA25E0F196022B3,53,1,5,2,8.75,5,-3.75,1,1,0,3,3,0,45.71428571,45.71428571,0,1,1,2,4.666666667,4.833333333,0.1666666667,1,1,0,,3,chat_personalized,chat_personalized_moral,moral,real_human
9C94E6A1667B4E49957CDF8755891888,26,1,4,3,50,55,5,4.4,4.2,-0.2,3.25,3.5,0.25,59.28571429,59.28571429,0,0,3,3,3.666666667,3.5,-0.1666666667,0,0,0,,2,text_statement,text_statement_control,control,real_human
35079707069E43E5A2D7F1C58AA7529B,45,2,4,2,80.25,86.5,6.25,4.4,4.4,0,3,3,0,82,87.42857143,5.428571429,0,4,4,5.166666667,5,-0.1666666667,1,1,0,,2,chat_personalized,chat_personalized_future,future,real_human
7CD96077DAF9427BB694526C1CEC2D76,27,1,5,3,82,81.25,-0.75,6.6,6,-0.6,3,3,0,68,62.71428571,-5.285714286,0,3,3,4,4.5,0.5,1,1,0,,0.6666666667,chat_personalized,chat_personalized_action,action,real_human
8C4454D0716E41E9858E3667A19B86CD,55,1,7,2,95,95,0,3.2,3.4,0.2,3.5,3,-0.5,85,85,0,0,1,1,5.333333333,5.333333333,0,1,,,,1,chat_nonpersonal,chat_nonpersonal_control,control,real_human
249D035DDB034898B10259A0E7607C7C,44,1,5,2,100,100,0,4.6,4.6,0,3.75,3.75,0,96.42857143,96.42857143,0,0,2,2,5.833333333,6.333333333,0.5,1,1,0,0,6,text_statement,text_statement_control,control,real_human
5A5DF9642D684FA4AA10E340D6E8AB7B,29,2,3,3,92.5,95,2.5,5.4,5.6,0.2,4,4,0,76.42857143,85.71428571,9.285714286,0,2,2,5.333333333,5.333333333,0,0,0,0,0,3,chat_personalized,chat_personalized_future,future,real_human
545CF92A96B8420592F43DAC635524A2,21,1,4,2,18.75,40,21.25,2,4.2,2.2,2.5,3.25,0.75,17.42857143,29.71428571,12.28571429,1,3,4,4,4.166666667,0.1666666667,0,0,0,,0,text_statement,text_statement_action,action,real_human
A298719289AA4077A7DBEF7A706F2992,50,1,5,2,7.25,13.5,6.25,3.4,3.4,0,2.5,2,-0.5,15.28571429,12.71428571,-2.571428571,0,1,1,3.666666667,3.333333333,-0.3333333333,0,0,0,,0,chat_personalized,chat_personalized_control,control,real_human
EC247086CAB648AD99D9BBFFFE893039,46,2,4,3,34,32.25,-1.75,3.4,3.8,0.4,4.75,5,0.25,39.71428571,40.42857143,0.7142857143,0,2,2,5,5,0,0,0,0,,5,chat_nonpersonal,chat_nonpersonal_action,action,real_human
8B8B7B58A2C44AD6B0A6ECD179F6AF77,50,2,7,2,98.5,100,1.5,4,4.4,0.4,4.5,4.75,0.25,97.71428571,97.57142857,-0.1428571429,0,1,1,6.166666667,6.5,0.3333333333,1,1,0,1,5,text_statement,text_statement_moral,moral,real_human
87892FE4AFB94BE49E3FB5095F4111CC,45,1,5,2,83.75,84.25,0.5,4.4,4.4,0,2.75,3,0.25,50,50,0,0,5,5,3,3.833333333,0.8333333333,1,1,0,,0.5,chat_personalized,chat_personalized_action,action,real_human
B91E9B68B87746D19B0336AAB07E81A4,23,1,5,2,37.5,36.5,-1,4.8,4.8,0,2.5,2.5,0,47.42857143,54.42857143,7,0,3,3,3.833333333,3.5,-0.3333333333,0,0,0,,2,chat_personalized,chat_personalized_moral,moral,real_human
870FB7B0CA73406EA65982559BC7ACB4,66,1,5,2,92.5,95,2.5,5,4.4,-0.6,3.75,3.75,0,82.85714286,85.71428571,2.857142857,0,2,2,5,5,0,1,1,0,0,5,text_statement,text_statement_future,future,real_human
B2A2ADCC8DA641E2B7F2162532EB402A,39,1,5,2,56,53.5,-2.5,4.8,4.8,0,3.75,3.5,-0.25,44.57142857,67.57142857,23,0,2,2,4.833333333,4.333333333,-0.5,0,0,0,0,3,chat_personalized,chat_personalized_moral,moral,real_human
11919CE7FB1640E28FFC5E4FBE986AD1,30,2,3,2,100,100,0,4.6,7,2.4,5,5,0,100,100,0,0,1,1,7,7,0,1,1,0,1,4,text_statement,text_statement_moral,moral,real_human
C2201E74145C4EDE80DB10155B4E631C,31,1,6,3,100,100,0,4.6,4.6,0,5,3.5,-1.5,100,100,0,0,2,2,7,7,0,1,1,0,0,3,chat_personalized,chat_personalized_future,future,real_human
31B9B9E378CB468C8C8BA878125D382F,53,2,7,1,2.75,1,-1.75,2.8,2.8,0,4,4,0,28.71428571,32.85714286,4.142857143,0,2,2,4.833333333,5,0.1666666667,0,0,0,0,3,chat_nonpersonal,chat_nonpersonal_moral,moral,real_human
D9BE79337B774997A12328EB5BE74CF3,42,1,4,2,66.25,61.25,-5,5.6,5.4,-0.2,4.25,3.25,-1,62.71428571,66.28571429,3.571428571,0,2,2,6,5.666666667,-0.3333333333,0,1,1,1,0,chat_nonpersonal,chat_nonpersonal_action,action,real_human
B328D7890C6C4C1A9CD1168BB13E3ADE,40,1,3,3,95.5,96,0.5,4.4,4.4,0,3.25,3.5,0.25,72.71428571,74.57142857,1.857142857,0,4,4,6.166666667,6,-0.1666666667,1,1,0,1,3,chat_personalized,chat_personalized_future,future,real_human
A3225197A57D498187805738CB466F18,29,1,3,2,75.5,89.75,14.25,4.2,3.8,-0.4,3.75,4.25,0.5,75.14285714,91.28571429,16.14285714,0,3,3,5.666666667,6.166666667,0.5,0,0,0,,1,chat_nonpersonal,chat_nonpersonal_control,control,real_human
F274AA97815F47B3830C355BC4EE7BE9,27,1,2,1,100,100,0,4.4,4.4,0,4.25,4.25,0,85.71428571,85.71428571,0,0,3,3,4.833333333,4.833333333,0,1,1,0,0,5,chat_personalized,chat_personalized_action,action,real_human
C26D8DBB6597487C9DFD7CB67445B44F,56,1,6,2,47.75,50.75,3,4.6,4.6,0,3,2.75,-0.25,63,56.28571429,-6.714285714,0,2,2,4.5,4.333333333,-0.1666666667,0,0,0,,1,chat_personalized,chat_personalized_action,action,real_human
93EA9384CB104C8387DCB2A24D15960F,24,2,5,3,90.5,100,9.5,4.4,4.6,0.2,4.5,4.5,0,81.71428571,93.42857143,11.71428571,0,1,1,7,7,0,1,1,0,1,5,text_statement,text_statement_control,control,real_human
084296DE16724F70AF9E20560E269A27,37,2,4,1,38.5,45,6.5,4.2,3.6,-0.6,3,3,0,34.85714286,30.14285714,-4.714285714,0,2,2,4.666666667,4.333333333,-0.3333333333,1,1,0,0,4,text_statement,text_statement_future,future,real_human
