participantId,age,gender,education,location,belief_pre,belief_post,belief_change,distance_pre,distance_post,distance_change,policy_adoption_pre,policy_adoption_post,policy_adoption_change,consumption_pre,consumption_post,consumption_change,general_sharing_pre,general_sharing_post,general_sharing_change,intervention_sharing_post,perceived_anthropomorphism_post,perceived_animacy_post,perceived_likeability_post,perceived_intelligence_post,perceived_safety_post,empathy_with_the_animal_post,climate_change_impact_on_animal_post,intentions_pre,intentions_post,intentions_change,self_perceived_behavior_pre,self_perceived_behavior_post,self_perceived_behavior_change,choices,condition,animal
78A80DD289D442C09F8ED5FD1FE7D3A9,44,1,6,2,100,100,0,4.2,4,-0.2,83.57142857,85.28571429,1.714285714,6.833333333,7,0.1666666667,,,,0,4,5,5,5,4,5,5,5,5,0,2,2,0,4,Static Character Narrative,beluga
4BF6BC74912B4E57AC6670523C6C6E72,34,1,3,3,100,100,0,4,4,0,85.71428571,91.42857143,5.714285714,4.5,4.5,0,0,0,0,0,5,5,5,5,3,5,5,2,3,1,5,5,0,5,Static Character Narrative,beluga
659D6F7FB8474BEEBAD44567D50D5C2E,34,1,5,3,58.25,69,10.75,6,6.4,0.4,65.14285714,64.57142857,-0.5714285714,5.833333333,6.666666667,0.8333333333,1,1,0,1,4,4.5,4,4.5,4,5,4,3.5,3.5,0,2.5,2,-0.5,2,Static Character Narrative,beluga
D0F0DA7A477D47BBA100808B98531843,46,1,5,2,73.75,78.75,5,4,4.6,0.6,70,78.57142857,8.571428571,5,5.166666667,0.1666666667,0,0,0,,4,3,5,3.5,3,4,5,2.5,3,0.5,3,3,0,3,Static Character Narrative,beluga
FBFCF1FD27524EA89F3EE22E752B73B3,43,2,2,3,61.5,67.75,6.25,4.8,4.8,0,80.28571429,89,8.714285714,5.666666667,5.5,-0.1666666667,,,,1,3,3,4,4.5,4,4,3,3.5,3.5,0,3,3,0,5,Static Character Narrative,beluga
1A558DA549534EEE8E789D3D4A63CE18,60,1,7,2,100,100,0,3.8,3.4,-0.4,96.42857143,96.42857143,0,4.666666667,4.833333333,0.1666666667,0,0,0,,5,5,5,5,4,4,5,2.5,2.5,0,4,4,0,3,Static Character Narrative,beluga
73ABED195B6543328E351C51873D05C3,50,1,5,3,61.75,83,21.25,4,4.2,0.2,80.42857143,81.14285714,0.7142857143,4.666666667,4.5,-0.1666666667,,,,,3,3,5,3.5,3,3,4,5,5,0,1,1,0,0,Static Character Narrative,beluga
8A2EE83C95B44289819A75A3709181FE,39,1,6,2,70,68.75,-1.25,4.4,4.4,0,82,75.71428571,-6.285714286,5,5,0,,,,,3,3,3,3,3,3,3,3,3,0,2,2,0,3,Static Character Narrative,beluga
060C175461B14C81B48F13811E9FB42D,30,2,5,2,70.75,88.75,18,5.4,4.6,-0.8,61.28571429,71.57142857,10.28571429,5.166666667,5.5,0.3333333333,1,1,0,1,5,5,5,4.5,4,5,5,4.5,5,0.5,2,2,0,6,Static Character Narrative,beluga
BF9CB3BA1FA042CAB85F0961DA4ADE5C,72,1,5,3,100,100,0,4.2,4,-0.2,90.71428571,90,-0.7142857143,6,6,0,1,1,0,0,4,4,5,4,2,5,5,3,3,0,1,1,0,4,Static Character Narrative,beluga
F6FA78B8BDD94300A7532A0F01801E62,33,1,2,1,52.25,47.5,-4.75,4,4.2,0.2,56.14285714,52.14285714,-4,4.5,5.333333333,0.8333333333,0,0,0,,1,1.5,4,3,2,3,4,1.5,1.5,0,4,4,0,0,Static Character Narrative,beluga
308E473967484585BAFA3EDFD5623FB1,34,2,3,1,61.5,63.75,2.25,4.4,4.2,-0.2,56.42857143,56.57142857,0.1428571429,5.166666667,5.333333333,0.1666666667,1,1,0,1,3,3,4,3,4,4,4,3,3,0,2,2,0,2,Static Character Narrative,beluga
6B1B6B2C5CD74E39A6DE0FF62580231C,45,1,3,2,35,32,-3,4.4,4.4,0,57.14285714,64.28571429,7.142857143,4,3.833333333,-0.1666666667,0,0,0,,3,2,4,3,3,1,5,2.5,2.5,0,3,3,0,1,Static Character Narrative,beluga
236F9D34F688459C972F81FFAAE45A73,18,1,3,2,64.25,68.75,4.5,3.8,3.8,0,80.57142857,79.85714286,-0.7142857143,5,5.166666667,0.1666666667,1,1,0,0,4,4,4,4,2,4,4,4,4,0,2,2,0,0.8333333333,Static Character Narrative,beluga
